measurement X;measurement Y;prediction X;prediction Y;updated X;updated Y
309.000000;98.000000;306.563251;85.976744;307.107613;88.662701
306.000000;79.000000;307.077864;91.464418;306.837076;88.679945
307.000000;98.000000;306.778531;91.131760;306.828005;92.666067
306.000000;61.000000;306.777305;95.313168;306.603663;87.647948
307.000000;94.000000;306.532643;89.329011;306.637046;90.372459
308.000000;101.000000;306.580805;92.186846;306.897837;94.155603
306.000000;94.000000;306.883218;96.220122;306.685918;95.724173
306.000000;104.000000;306.647992;97.727684;306.503239;99.128844
306.000000;94.000000;306.448639;101.310835;306.348419;99.677683
305.000000;107.000000;306.282768;101.655108;305.996213;102.849092
307.000000;112.000000;305.895988;104.978843;306.142611;106.547284
307.000000;108.000000;306.075119;108.876635;306.281726;108.680805
307.000000;108.000000;306.241916;110.987034;306.411263;110.319767
306.000000;109.000000;306.394431;112.543361;306.306320;111.751817
306.000000;109.000000;306.279965;113.877087;306.217424;112.787605
306.000000;121.000000;306.184774;114.776940;306.143498;116.167096
307.000000;108.000000;306.107237;118.333523;306.306670;116.025140
307.000000;108.000000;306.297185;117.901759;306.454185;115.689828
308.000000;120.000000;306.466120;117.288815;306.808770;117.894460
307.000000;122.000000;306.865561;119.571503;306.895593;120.114000
307.000000;122.000000;306.957775;121.861127;306.967208;121.892150
308.000000;128.000000;307.032180;123.644793;307.248379;124.617692
307.000000;130.000000;307.342245;126.494754;307.265791;127.277782
306.000000;122.000000;307.351605;129.255292;307.049674;127.634550
308.000000;140.000000;307.098972;129.409059;307.300251;131.774944
309.000000;122.000000;307.376558;133.849720;307.739215;131.202640
309.000000;122.000000;307.862904;132.944851;308.116917;130.499907
309.000000;140.000000;308.274273;131.935072;308.436391;133.736676
309.000000;122.000000;308.615812;135.400874;308.701635;132.407285
308.000000;134.000000;308.893490;133.695175;308.693896;133.763269
309.000000;141.000000;308.862154;135.061355;308.892947;136.387974
309.000000;136.000000;309.066693;137.855131;309.051795;137.440718
309.000000;136.000000;309.225260;138.857160;309.174940;138.218906
308.000000;154.000000;309.343652;139.556375;309.043497;142.782901
311.000000;155.000000;309.175919;144.529284;309.583396;146.868312
311.000000;155.000000;309.768857;148.911570;310.043879;150.271650
307.000000;150.000000;310.265658;152.488204;309.536151;151.932370
311.000000;161.000000;309.667438;154.080356;309.965116;155.626118
307.000000;162.000000;310.135582;157.970839;309.435132;158.870904
313.000000;169.000000;309.518773;161.330848;310.296436;163.044041
311.000000;171.000000;310.479849;165.721857;310.596044;166.900929
307.000000;181.000000;310.795726;169.729189;309.947808;172.246948
311.000000;175.000000;310.042049;175.394648;310.256043;175.306488
311.000000;175.000000;310.378899;178.444659;310.517645;177.675165
306.000000;163.000000;310.659616;180.717795;309.618716;176.759860
312.000000;178.000000;309.630884;179.304445;310.160115;179.013048
312.000000;178.000000;310.240693;181.522448;310.633701;180.735577
312.000000;178.000000;310.765492;183.147242;311.041265;181.997412
312.000000;178.000000;311.209470;184.265525;311.386064;182.865884
312.000000;178.000000;311.578162;184.958908;311.672395;183.404374
312.000000;178.000000;311.877989;185.302755;311.905244;183.671410
312.000000;178.000000;312.115879;185.365452;312.089993;183.720102
312.000000;178.000000;312.298959;185.208036;312.232175;183.597851
312.000000;178.000000;312.434311;184.884117;312.337291;183.346291
312.000000;178.000000;312.528779;184.440024;312.410657;183.001403
312.000000;178.000000;312.588833;183.915126;312.457295;182.593760
312.000000;178.000000;312.620466;183.342275;312.481862;182.148878
312.000000;178.000000;312.629135;182.748340;312.488594;181.687620
312.000000;178.000000;312.619726;182.154778;312.481287;181.226652
312.000000;178.000000;312.596543;181.578244;312.463283;180.778909
312.000000;178.000000;312.563316;181.031194;312.437478;180.354063
312.000000;178.000000;312.523225;180.522468;312.406343;179.958980
312.000000;178.000000;312.478936;180.057851;312.371947;179.598153
312.000000;178.000000;312.432634;179.640592;312.335989;179.274104
312.000000;178.000000;312.386075;179.271878;312.299830;178.987756
312.000000;178.000000;312.340629;178.951263;312.264537;178.738763
312.000000;178.000000;312.297329;178.677044;312.230910;178.525801
